,Activity,Activite1,Activite2,Activite3,Activite4,Activite5,Activite6,Activite7,Activite8,Activite9,Activite10,Poste actuel
559,['unckown'],unckown,,,,,,,,,,Mobile Developer
560,['unckown'],unckown,,,,,,,,,,Unreal Engine Game Developer
561,['unckown'],unckown,,,,,,,,,,Freelance
562,['unckown'],unckown,,,,,,,,,,unckown
563,['unckown'],unckown,,,,,,,,,,Founder & CEO
564,['unckown'],unckown,,,,,,,,,,Full Stack Engineer
565,['unckown'],unckown,,,,,,,,,,Manager
566,['Competencies: SAP ERP · SAP BW · SAP Fiori · CRM Microsoft Dynamics · Python (programming language) · Deep learning · machine learning · Big Data analytics · click · Tableau · SQL Server Reporting Services (SSRS) · SQL Server Integration Services (SSIS) · SQL Server Analysis Services (SSAS) · Microsoft SQL Server · Tools for eTL · R · Microsoft Power BI · Talend · PHP · Java'],Competencies: SAP ERP · SAP BW · SAP Fiori · CRM Microsoft Dynamics · Python (programming language) · Deep learning · machine learning · Big Data analytics · click · Tableau · SQL Server Reporting Services (SSRS) · SQL Server Integration Services (SSIS) · SQL Server Analysis Services (SSAS) · Microsoft SQL Server · Tools for eTL · R · Microsoft Power BI · Talend · PHP · Java,,,,,,,,,,Decision Intelligence Consultant
567,['unckown'],unckown,,,,,,,,,,Technical QA Engineer
568,['unckown'],unckown,,,,,,,,,,Software Engineer
569,['unckown'],unckown,,,,,,,,,,Software Development Engineer
570,['unckown'],unckown,,,,,,,,,,DevOps Engineer
571,"['Manufacturing process engineer in the automotive industry', '', 'Process: Ultrasonic Welding and Heat Shrinking operation', '', ""• Defining & organizing the production process in accordance with customer requirements and LEONI's work instructions."", '', '• Conduct research, and consider alternative approaches to improve production process performance by applying Lean Manufacturing & GMP.', '', '• Create specifications (SOW) for manufacturing equipment', '', '• Choose & order equipment for ultrasonic welding and heat shocking, define and order spare parts.', '', '• Constantly waiting meetings with international requests to discussions engineering-related issues and possible improvements (Schunk, Mecalbi, DSG-Canusa, Raychem,..)', '', '• Installation, approval, and requalification of all shocking and welding machines (IQ / OQ / PQ)', '', '• Defining ultrasonic welding parameters, programming weld generators, and approaching weld combinations.', '', '• Coordinating and implementing activities for changes in the ultrasonic welding and heat shocking process in accordance with change management and project management.', '', '• Carry out weekly process audits, and analysis guaranteed data so as to find out possible benefits in the existing process.', '', '• Draw and develop mechanical designs and detailed drawing using SolidWorks software for required mechanical components and assemblies that meet performance and cost targets', '', '• Prepare for and participate in design review meetings with requests.', '', '• Cooperative with the maintenance department to troubleshoot problems and downtime on machines in production.', '', '• Train and guide production staff to ensure adherence to required methods and processes.', '', '• Provide engineering support to the production maintenance team to solve critical/rare problems on equipment.', '', '• Wait and participate in PFMEA, RFMEA & QRQC scheduled meetings.', '', '• Update process documents (work instructions, control instructions).', '', ""• Draw up and update machines' documents (Maintenance Plan, Setup Parameters, Auto Maintenace)""]",Manufacturing process engineer in the automotive industry,,Process: Ultrasonic Welding and Heat Shrinking operation,,• Defining & organizing the production process in accordance with customer requirements and LEONI's work instructions.,,"• Conduct research, and consider alternative approaches to improve production process performance by applying Lean Manufacturing & GMP.",,• Create specifications (SOW) for manufacturing equipment,,Lead Manufacturing Process Engineer
572,['Skills: AngularJS · SASS · HTML · Arduino · Node.js ·.NET Framework · Android · Firebase · Express.js · Flutter'],Skills: AngularJS · SASS · HTML · Arduino · Node.js ·.NET Framework · Android · Firebase · Express.js · Flutter,,,,,,,,,,FullStack Devlopper 
573,['unckown'],unckown,,,,,,,,,,LES Technical Consultant 
574,"['Development of a web platform for equipment monitoring for the introduction of AI in energy consumption management', 'java/jee, Spring Boot, Hibernate, Spring DATA JPA, Angular PostgreSQL...']",Development of a web platform for equipment monitoring for the introduction of AI in energy consumption management,"java/jee, Spring Boot, Hibernate, Spring DATA JPA, Angular PostgreSQL...",,,,,,,,,PFE Stage Developer Full Stack 
575,['unckown'],unckown,,,,,,,,,,Trainee
576,['unckown'],unckown,,,,,,,,,,Lead Software Development Engineer
577,['unckown'],unckown,,,,,,,,,,Senior Developer Engineer Odoo
578,['unckown'],unckown,,,,,,,,,,Product Manager
579,"['- Study, Design and Development of Industrial Machinery', '- Preparation of technical documents', '- Estimation of costs', '- 3D printing', '- Development and implementation of SW VBA macros']","- Study, Design and Development of Industrial Machinery",- Preparation of technical documents,- Estimation of costs,- 3D printing,- Development and implementation of SW VBA macros,,,,,,Mechanical design engineer
580,['unckown'],unckown,,,,,,,,,,Business Analyst
581,"['- Ensure the design, monitoring and dimensioning of the collection network converge.', '- The guarantor of the implementation of the overall architecture of the capillary transmission network for the medium and long term.', '- Participate in the development of the global transmission architecture and the implementation of master plans and strategies,', '- Plan the design, dimensioning and evolution of the Convergent Fixed Mobile and Business (HLD/LLD) transmission network according to the group recommendations', '- Develop a dashboard to track load evolution', '- Develop technical specifications, project planning and estimate qualification factors', '- To set up traffic projections in order to anticipate the necessary actions on the collection and access network to improve the QoS of the capillary transmission network']","- Ensure the design, monitoring and dimensioning of the collection network converge.",- The guarantor of the implementation of the overall architecture of the capillary transmission network for the medium and long term.,"- Participate in the development of the global transmission architecture and the implementation of master plans and strategies,","- Plan the design, dimensioning and evolution of the Convergent Fixed Mobile and Business (HLD/LLD) transmission network according to the group recommendations",- Develop a dashboard to track load evolution,"- Develop technical specifications, project planning and estimate qualification factors",- To set up traffic projections in order to anticipate the necessary actions on the collection and access network to improve the QoS of the capillary transmission network,,,,Capillary Transmission Engineer
582,['unckown'],unckown,,,,,,,,,,Project Engineer/Project Engineer
583,['unckown'],unckown,,,,,,,,,,Method Engineer
584,['unckown'],unckown,,,,,,,,,,Junior Software Development Engineer
585,['unckown'],unckown,,,,,,,,,,Technical Manager
586,['unckown'],unckown,,,,,,,,,,DevOps Tech Lead
587,['Skills : English'],Skills : English,,,,,,,,,,Industrial engineer
588,"['-Etude, planning and management of MT and BT electrification works (air and underground) of subdivisions, public lighting networks (Use of software: MSProject, AutoCad and DIALUX). ', '- Follow-up of on-site work in collaboration with the execution team. ', '-Marketing and preparation of offers and quotations for new project. ', '-Study, definition and validation of technical solutions to ensure compliance with the CPS of the project. ', '-Preparation of the situation of the projects: attachments and counts.']","-Etude, planning and management of MT and BT electrification works (air and underground) of subdivisions, public lighting networks (Use of software: MSProject, AutoCad and DIALUX). ",- Follow-up of on-site work in collaboration with the execution team. ,-Marketing and preparation of offers and quotations for new project. ,"-Study, definition and validation of technical solutions to ensure compliance with the CPS of the project. ",-Preparation of the situation of the projects: attachments and counts.,,,,,,Chargé d'affaires 
589,['unckown'],unckown,,,,,,,,,,Senior software engineer
590,"['My 6-month end-of-study project consists of optimising the implementation of the', 'networks of MLP-type neurons on a FPGA card and exploiting them in the classification', 'breast cancer and treatment of the EEG signal', '']",My 6-month end-of-study project consists of optimising the implementation of the,networks of MLP-type neurons on a FPGA card and exploiting them in the classification,breast cancer and treatment of the EEG signal,,,,,,,,Internship in engineering
591,"['Director of the Ecole Supérieure Privée des technologies et d\'Ingénierie ""TEK-UP""']","Director of the Ecole Supérieure Privée des technologies et d'Ingénierie ""TEK-UP""",,,,,,,,,,Director of TEK-UP
592,"['As a consultant, I have accompanied the CMO and Directorates-General of SMEs, major groups, ETI and Startup in their digital transformation, creation or evolution of services. ', '', 'Main missions: ', '- Pfizer : Recast of the intranet and design of the collaborative experience;', '- Chullanka: Design of the e-commerce website with thousands of outdoor product references; ', '- Randstad: Impact study of the training period for new employees;', '- Renault Mobility: Design of the experience of the vehicle rental service intermediation platform;', '- Pricetel: Design of a new 100% free telephone service for teenagers: BLU;', '- Onvabosser: Design of the mobile application of the new recruitment service thanks to soft-kills.', '']","As a consultant, I have accompanied the CMO and Directorates-General of SMEs, major groups, ETI and Startup in their digital transformation, creation or evolution of services. ",,Main missions: ,- Pfizer : Recast of the intranet and design of the collaborative experience;,- Chullanka: Design of the e-commerce website with thousands of outdoor product references; ,- Randstad: Impact study of the training period for new employees;,- Renault Mobility: Design of the experience of the vehicle rental service intermediation platform;,- Pricetel: Design of a new 100% free telephone service for teenagers: BLU;,- Onvabosser: Design of the mobile application of the new recruitment service thanks to soft-kills.,,Associate Consultant #Designthinking #Datasciences # UX
593,['unckown'],unckown,,,,,,,,,,University teacher
594,"['• Formwork and railing plans ', '• Modeling a digital model on Revit', '• Dimension all elements of the structure on Arche', '• Calculation of weapon concrete structures ', '• Metre and cost estimate']",• Formwork and railing plans ,• Modeling a digital model on Revit,• Dimension all elements of the structure on Arche,• Calculation of weapon concrete structures ,• Metre and cost estimate,,,,,,Civil engineering structure engineer
595,"['development of a web application for the company ', 'technology: Laravel - PHP -HTML- JavaScript - JQuery']",development of a web application for the company ,technology: Laravel - PHP -HTML- JavaScript - JQuery,,,,,,,,,Trainee
596,['Responsible for the implementation of civil infrastructure projects of the Management Committees and Organisations of Producers of such infrastructure.'],Responsible for the implementation of civil infrastructure projects of the Management Committees and Organisations of Producers of such infrastructure.,,,,,,,,,,Responsible Infrastructure Components & COGES Management Committees and Producer Organisations
597,['unckown'],unckown,,,,,,,,,,Industrial cold engineer 
598,['unckown'],unckown,,,,,,,,,,Engineer 
599,"['I am the Founder and Senior Consultant at DC CONSULTANTS. We act as Digital Catalyst on all our AGILE and Digital Transformation projects.', '', 'Today I manage a team of consultants, and speak to ISDs, HRDs, Transformation Directors for advice, training and tools.', '', 'Roles occupied at our customers : ', '- Leader Transformation', '- Agile Coach', '- Release Train Engineer (RTE)', '- Product Owner', '- Project Director', '- Data project Director', '', 'Clients:', '', 'BNP PARIBAS, PCBE GROUP, IMERYS, ACCOR, many SMEs and ETI.', '', ""I also enliven our community of 3000 members with content, meetings, sharing experiences to enrich each other's skills.""]",I am the Founder and Senior Consultant at DC CONSULTANTS. We act as Digital Catalyst on all our AGILE and Digital Transformation projects.,,"Today I manage a team of consultants, and speak to ISDs, HRDs, Transformation Directors for advice, training and tools.",,Roles occupied at our customers : ,- Leader Transformation,- Agile Coach,- Release Train Engineer (RTE),- Product Owner,- Project Director,Main Digital Catalyst & Founder
600,['After exile: access to employment through training and meetings.'],After exile: access to employment through training and meetings.,,,,,,,,,,Antenna Manager - Annecy
601,['unckown'],unckown,,,,,,,,,,Systems Associate Designer
602,['unckown'],unckown,,,,,,,,,,Governor General
603,['Realization of websites / web applications / Mobile applications / Desktop applications'],Realization of websites / web applications / Mobile applications / Desktop applications,,,,,,,,,,Full Stack Developer
604,"[""The Research and Innovation Directorate conducts its work within the Group's Robotic Cluster, in a coordinated manner with the Directorate General, Commercial and Marketing. Its activities are carried out in a transversal manner on all the sites of the company ECA ROBOTICS (Toulon, Brest, Paris, Nantes, Montpellier). As Director of Research and Innovation, I continue the following four main tasks:"", '- Innovation Management to develop the bricks/functions/solutions of the future that will be integrated into our product lines and allow our customers to maintain a competitive advantage', '- the development of expertise on new technologies', '- the establishment of R&D collaborations with the world of public and private research', '- the development and management of intellectual property']","The Research and Innovation Directorate conducts its work within the Group's Robotic Cluster, in a coordinated manner with the Directorate General, Commercial and Marketing. Its activities are carried out in a transversal manner on all the sites of the company ECA ROBOTICS (Toulon, Brest, Paris, Nantes, Montpellier). As Director of Research and Innovation, I continue the following four main tasks:",- Innovation Management to develop the bricks/functions/solutions of the future that will be integrated into our product lines and allow our customers to maintain a competitive advantage,- the development of expertise on new technologies,- the establishment of R&D collaborations with the world of public and private research,- the development and management of intellectual property,,,,,,Director of Research and Innovation
605,['unckown'],unckown,,,,,,,,,,Software developer
606,['Hydroelectric Engineering Centre'],Hydroelectric Engineering Centre,,,,,,,,,,Head of the Engineering & Works Programme
607,"['ENTERPRISES:', 'Walter Technologies for Surfaces has been a leader in surface processing technologies for over 50 years and provides abrasives, electrical tools, tools, chemical tools and high-performance environmental solutions to the metal industry. Founded in 1952, Walter Technologies for Surfaces is established in 7 countries across North America, South America and Europe.', '']",ENTERPRISES:,"Walter Technologies for Surfaces has been a leader in surface processing technologies for over 50 years and provides abrasives, electrical tools, tools, chemical tools and high-performance environmental solutions to the metal industry. Founded in 1952, Walter Technologies for Surfaces is established in 7 countries across North America, South America and Europe.",,,,,,,,,"Main Product Manager - Agglomerated abrasives, Tools and Electrical Tools"
608,"['Design, development and redevelopment of residential, commercial or office space.']","Design, development and redevelopment of residential, commercial or office space.",,,,,,,,,,INTERNAL ARCHITECTE FUNDATRICE
609,['unckown'],unckown,,,,,,,,,,Mechanical Design Engineer
610,['owner of a private primary school - Cem - high school '],owner of a private primary school - Cem - high school ,,,,,,,,,,University teacher  
611,['Skills: Computer-assisted design (CAO) · SOLIDWORKS · ANSYS · CATIA'],Skills: Computer-assisted design (CAO) · SOLIDWORKS · ANSYS · CATIA,,,,,,,,,,Mechanical Designer
612,['unckown'],unckown,,,,,,,,,,Cybersecurity Analyst
613,['Reconversion and consolidation of my training activities!'],Reconversion and consolidation of my training activities!,,,,,,,,,,Teacher
614,"['* Organize, plan and monitor all the activities of the System team in order to build, recruit, build a well-functioning and well-integrated team where employees perform optimal services because they know they are valued, supported and supported.', '', '* Support and support its employees to contribute to the development of their skills and to the optimal achievement of the results', '', '* Evaluate, spontaneously or on request, different technical scenarios and inform supervisors in order to offer the possibility of making appropriate decisions, including in terms of new investments', '', '* Write, develop, execute and follow a project plan to achieve the project objectives according to the predefined time, budget, quality and scope (perimeter) parameters.', '', '* Ensure the continuous support and improvement of the IT environment and ensure its reliability in order to provide users with the opportunity to effectively carry out the tasks of the Inland FPS']","* Organize, plan and monitor all the activities of the System team in order to build, recruit, build a well-functioning and well-integrated team where employees perform optimal services because they know they are valued, supported and supported.",,* Support and support its employees to contribute to the development of their skills and to the optimal achievement of the results,,"* Evaluate, spontaneously or on request, different technical scenarios and inform supervisors in order to offer the possibility of making appropriate decisions, including in terms of new investments",,"* Write, develop, execute and follow a project plan to achieve the project objectives according to the predefined time, budget, quality and scope (perimeter) parameters.",,* Ensure the continuous support and improvement of the IT environment and ensure its reliability in order to provide users with the opportunity to effectively carry out the tasks of the Inland FPS,,ICT System Advisor - Coordinator
615,"['KEY WORDS: ', 'Experimental research, modelling, composite materials, lightning protection, aeronautics', '', 'BACKGROUND AND OBJECTIVE: ', 'Aircraft and helicopters are struck by lightning on average once a year, which can seriously damage materials at the fuselage impact point. The solutions currently used are to apply a copper mesh to the materials to improve their electrical conductivity and thus distribute the energy of the impact over the whole fuselage rather than at a specific point. However, copper meshes increase aircraft weight, resulting in fuel consumption and pollutant emissions. ', '', 'My goal is to develop new lightning protection solutions, both more effective and lighter.  Different types of coatings are being studied, including nickel and silver. ', '', 'ACHIEVEMENTS:', '- Creation of new design of innovative materials', '- Definition and execution of experimental tests: lightning tests (ARP5412), damage analysis with a C-Scan and CT-Scan, mechanical bending tests (ASTM D6272), chemical tests', '- Modelling of electrical, thermal and chemical processes in a material exposed to lightning', '- Technological monitoring of existing lightning protection solutions', '- Project management: definition of need with partner, communication with suppliers, allocation of resources', '- Preparation of scientific reports and articles', '', 'TECHNICAL ENVIRONMENT:', '- Experimentation: Lightning gun, C-Scan, CT-Scan, TGA, DSC, Reflectometer, infrared camera, voltage machine, cutting machines', '- Modeling: Comsol, Python', '- Language of the project: English']",KEY WORDS: ,"Experimental research, modelling, composite materials, lightning protection, aeronautics",,BACKGROUND AND OBJECTIVE: ,"Aircraft and helicopters are struck by lightning on average once a year, which can seriously damage materials at the fuselage impact point. The solutions currently used are to apply a copper mesh to the materials to improve their electrical conductivity and thus distribute the energy of the impact over the whole fuselage rather than at a specific point. However, copper meshes increase aircraft weight, resulting in fuel consumption and pollutant emissions. ",,"My goal is to develop new lightning protection solutions, both more effective and lighter.  Different types of coatings are being studied, including nickel and silver. ",,ACHIEVEMENTS:,- Creation of new design of innovative materials,Postdoctoral Researcher - Lightning Resistance of Composites in Aeronautics
616,"['Manufacturer of La Fouine software, a tool specialized in real-time research on the Web, social networks and custom sources.', 'Partner Nuix & Brainspace.', 'Sale and support for software in forensic computer science and EDiscovery.', 'Data indexing and forensic computer analysis.', 'www.vigiteck.com', 'Consultant-consultant E-Discovery for companies working in the field of safety and investigation as well as law enforcement agencies. ']","Manufacturer of La Fouine software, a tool specialized in real-time research on the Web, social networks and custom sources.",Partner Nuix & Brainspace.,Sale and support for software in forensic computer science and EDiscovery.,Data indexing and forensic computer analysis.,www.vigiteck.com,Consultant-consultant E-Discovery for companies working in the field of safety and investigation as well as law enforcement agencies. ,,,,,President
617,"['Mission & Results:', '* Design of an automated shutter insertion machine.', '* Optimization of production cycle time.', '* Optimization of numbers of finished parts.']",Mission & Results:,* Design of an automated shutter insertion machine.,* Optimization of production cycle time.,* Optimization of numbers of finished parts.,,,,,,,Study Completion Project
618,['unckown'],unckown,,,,,,,,,,Tesm Service
619,"['Design & Construction Buildings', 'www.marccombe.com']",Design & Construction Buildings,www.marccombe.com,,,,,,,,,Architect Engineer HMONP
620,['unckown'],unckown,,,,,,,,,,Senior Manager
621,"['Follow-up of major Tertiary and Industrial projects in the sector, organization of events (technical morning, economic chain trip).', ""Requirements for Tertiary and Industry solutions of the Legrand Group (Power, Measurement, VDI, Lighting Management, UPS, Apparatus, Security) with the public and private works mastery (Final Customers) as well as the Construction Mastery (Offices d'Etudes, Entreprises générales)""]","Follow-up of major Tertiary and Industrial projects in the sector, organization of events (technical morning, economic chain trip).","Requirements for Tertiary and Industry solutions of the Legrand Group (Power, Measurement, VDI, Lighting Management, UPS, Apparatus, Security) with the public and private works mastery (Final Customers) as well as the Construction Mastery (Offices d'Etudes, Entreprises générales)",,,,,,,,,Commercial Manager Project Tertiary Solution
622,"['-Preventive and curative maintenance of production equipment ', '-Assist in the qualification of machinery and production equipment.', '-Ensure stock management of ""PDR"" spare parts of production equipment.', '-Ensure the implementation of preventive maintenance plans for the equipment and its implementation.', '-Following the proper functioning of the HVAC system from the GTC', '-Follow-up on the GMAO', '-FAT in Germany 2016 and install new production equipment', '-Dedication of instructions for preventive maintenance of machinery and production equipment', '-FAT in Germany 2019 and installation of equipment for new zone']",-Preventive and curative maintenance of production equipment ,-Assist in the qualification of machinery and production equipment.,"-Ensure stock management of ""PDR"" spare parts of production equipment.",-Ensure the implementation of preventive maintenance plans for the equipment and its implementation.,-Following the proper functioning of the HVAC system from the GTC,-Follow-up on the GMAO,-FAT in Germany 2016 and install new production equipment,-Dedication of instructions for preventive maintenance of machinery and production equipment,-FAT in Germany 2019 and installation of equipment for new zone,,Senior Industrial Maintenance Technician
623,"['•Respond to the initial and further training needs of teachers and encourage them to integrate the IT tool into their teaching, offering them differentiated courses, and involving them in the training process. Accomplishments: development and implementation of the CAS People MITIC Resources (http://www.pressmitic.ch/a-propos/); development and implementation of educational training (creation of cybersurvey, incentive websites, self-corrective exercises, electronic portfolios) or organizational (mindmapping, GTD, holistic management of its virtual workspace); support of institutions generalizing the use of MITIC means (TBI, 121,...), ', ""•Develop, implement and promote educational opportunities in information and communication technologies. Accomplishments: accompaniment-research on the integration of a student/tablet device in an institution (http://www.recherche1to1-hepl.ch), exploratory research on the exploitation of the e-Portfolio in the service of apprenticeships; participation in the development of the master plans for Vaudian pedagogical informatics; co-orientation of the teacher's MITIC repository."", '•Develop exchanges of teaching resources between teachers.  Achievements: animation and development of the Vaudian teacher resource bank (www.bdrp.ch); establishment and operation of a pooling of skills based on knowledge tree theory (Authier, A. & Lévy, P., 1992/2002), co-developing the free platform http://learnflow.ch/ui/home.', '•Use MITICs to encourage exchanges within an institution. Achievements: participation in the development of the new HEP site; support and supervision of the establishment of communication platforms for some 30 Vaud schools.']","•Respond to the initial and further training needs of teachers and encourage them to integrate the IT tool into their teaching, offering them differentiated courses, and involving them in the training process. Accomplishments: development and implementation of the CAS People MITIC Resources (http://www.pressmitic.ch/a-propos/); development and implementation of educational training (creation of cybersurvey, incentive websites, self-corrective exercises, electronic portfolios) or organizational (mindmapping, GTD, holistic management of its virtual workspace); support of institutions generalizing the use of MITIC means (TBI, 121,...), ","•Develop, implement and promote educational opportunities in information and communication technologies. Accomplishments: accompaniment-research on the integration of a student/tablet device in an institution (http://www.recherche1to1-hepl.ch), exploratory research on the exploitation of the e-Portfolio in the service of apprenticeships; participation in the development of the master plans for Vaudian pedagogical informatics; co-orientation of the teacher's MITIC repository.","•Develop exchanges of teaching resources between teachers.  Achievements: animation and development of the Vaudian teacher resource bank (www.bdrp.ch); establishment and operation of a pooling of skills based on knowledge tree theory (Authier, A. & Lévy, P., 1992/2002), co-developing the free platform http://learnflow.ch/ui/home.",•Use MITICs to encourage exchanges within an institution. Achievements: participation in the development of the new HEP site; support and supervision of the establishment of communication platforms for some 30 Vaud schools.,,,,,,,"Associate Professor of Educational Technologies, Project Manager and Social Manager of the service bdrp.ch"
624,['unckown'],unckown,,,,,,,,,,Legal Officer
625,['Reading'],Reading,,,,,,,,,,Assistant Master
626,['unckown'],unckown,,,,,,,,,,unckown
627,['unckown'],unckown,,,,,,,,,,Web Developer
628,['unckown'],unckown,,,,,,,,,,unckown
629,['Skills : Decoding sensors · PHP · JavaScript · Lorawan · IoT platforms management'],Skills : Decoding sensors · PHP · JavaScript · Lorawan · IoT platforms management,,,,,,,,,,IoT Engineer
630,['unckown'],unckown,,,,,,,,,,Treasurer
631,['unckown'],unckown,,,,,,,,,,Trainee
632,['unckown'],unckown,,,,,,,,,,Backend intern
633,['Skills : Spring Boot · Ansible · Keras · Telecommunications · Software Development'],Skills : Spring Boot · Ansible · Keras · Telecommunications · Software Development,,,,,,,,,,Student
634,['unckown'],unckown,,,,,,,,,,Business Intelligence Internal
635,['Skills : Artificial Intelligence (AI) · Cellular Communications · Spring Boot · MongoDB · Sensors · Node.js · Angular · Internet of Things (IoT)'],Skills : Artificial Intelligence (AI) · Cellular Communications · Spring Boot · MongoDB · Sensors · Node.js · Angular · Internet of Things (IoT),,,,,,,,,,Engineering Student
636,['unckown'],unckown,,,,,,,,,,Internal
637,"['Design, implementation and establishment of data visualization and automated supervision system for the states of the production lines using ELK Stack.', 'This solution provides real time monitoring and alerting in case of southden and unexpected event.']","Design, implementation and establishment of data visualization and automated supervision system for the states of the production lines using ELK Stack.",This solution provides real time monitoring and alerting in case of southden and unexpected event.,,,,,,,,,Graduation Project
638,['unckown'],unckown,,,,,,,,,,Integration Consultant
639,['Skills : Automation · Manual Testing · Python (Programming Language) · Battery Electric Vehicle (BEV) · Battery Management Systems · Jira · Jenkins · ECU-Test · Automotive testing'],Skills : Automation · Manual Testing · Python (Programming Language) · Battery Electric Vehicle (BEV) · Battery Management Systems · Jira · Jenkins · ECU-Test · Automotive testing,,,,,,,,,,Junior Consultant
640,['Orange Summer Challenge'],Orange Summer Challenge,,,,,,,,,,Embedded System Developer - Orange Digital Center
641,"['Topic: Development of an Addixo Edge-Box module management interface.', '-Designing the graphical interface using Qt designer.', '- Development of code with Python (oop) language.', '-The EdgeBox module is based on a RevPi (RevolutionPi - Industrial RaspberryPi).', 'Keywords : Qt designer,Python,PyQt5,PyInstaller, SSH, SCP, Revolution Pi,Docker.']",Topic: Development of an Addixo Edge-Box module management interface.,-Designing the graphical interface using Qt designer.,- Development of code with Python (oop) language.,-The EdgeBox module is based on a RevPi (RevolutionPi - Industrial RaspberryPi).,"Keywords : Qt designer,Python,PyQt5,PyInstaller, SSH, SCP, Revolution Pi,Docker.",,,,,,Engineering course 
642,"['As an internal in this group, I was able to rediscover embedded systems on a project that involves public lighting:', 'establishment of the communication infrastructure between the IOT devices (master and slave systems)', 'implementation of a complete routing algorithm and message processing ', 'field testing of NRF24 + HC12 systems ', 'Optimization and implementation of the system on the ESP32 and ATMEGA328.']","As an internal in this group, I was able to rediscover embedded systems on a project that involves public lighting:",establishment of the communication infrastructure between the IOT devices (master and slave systems),implementation of a complete routing algorithm and message processing ,field testing of NRF24 + HC12 systems ,Optimization and implementation of the system on the ESP32 and ATMEGA328.,,,,,,IoT Internal
643,['unckown'],unckown,,,,,,,,,,unckown
644,['unckown'],unckown,,,,,,,,,,SAP Technical Support
645,"['development of an appointment website for home car maintenance, this application was developed with the VueJS framework for the front-end part and the laravel framework 8 written in php for the backend part.']","development of an appointment website for home car maintenance, this application was developed with the VueJS framework for the front-end part and the laravel framework 8 written in php for the backend part.",,,,,,,,,,Full-stack Developer
646,['unckown'],unckown,,,,,,,,,,Student
647,"['*Management of international tender files for the implementation of HTB/HTA power transmission station installation projects.', '*Develop technical specifications for teleconductor and teletransmission equipment (RTU, SDH, etc.) in accordance with standards (IEC, ITU, etc.).', '', 'Key words: SCADA, Optical Fibre, MPLS-TP, SDH, PDH, CPL, THD.']",*Management of international tender files for the implementation of HTB/HTA power transmission station installation projects.,"*Develop technical specifications for teleconductor and teletransmission equipment (RTU, SDH, etc.) in accordance with standards (IEC, ITU, etc.).",,"Key words: SCADA, Optical Fibre, MPLS-TP, SDH, PDH, CPL, THD.",,,,,,,Charged with teleconducting of HTB power transmission stations
648,['Skills : Python (programming language)'],Skills : Python (programming language),,,,,,,,,,Electromechanical Engineering Student
649,['Skills: Selenium · VS 2019 · Scrum · C# · Azure DevOps'],Skills: Selenium · VS 2019 · Scrum · C# · Azure DevOps,,,,,,,,,,Developer solutions
650,['OPENSTACK virtual machine deployment'],OPENSTACK virtual machine deployment,,,,,,,,,,Trainee
651,['Skills: Business Intelligence (BI)'],Skills: Business Intelligence (BI),,,,,,,,,,Student
652,['unckown'],unckown,,,,,,,,,,Consultant data science 
653,['unckown'],unckown,,,,,,,,,,unckown
654,['unckown'],unckown,,,,,,,,,,Student
655,['unckown'],unckown,,,,,,,,,,Artificial Intelligence Internal
656,"['-Development of internal projects', '-Full-stack development: ', ' React js', ' Spring microservices architecture']",-Development of internal projects,-Full-stack development: , React js, Spring microservices architecture,,,,,,,Software Developer in the direction of information system Esprit 
657,['unckown'],unckown,,,,,,,,,,Student
658,['unckown'],unckown,,,,,,,,,,Student
659,['Understanding the manipulation of machine learning algorithms to solve inverse problems using the python language'],Understanding the manipulation of machine learning algorithms to solve inverse problems using the python language,,,,,,,,,,Internal
660,['unckown'],unckown,,,,,,,,,,Outsystems developer
661,['unckown'],unckown,,,,,,,,,,Student
662,['unckown'],unckown,,,,,,,,,,Computer Vision and Full Stack Developer internally
663,['Skills : Business analytics · Artificial Intelligence (IA) · Big data · Big Data Analysis'],Skills : Business analytics · Artificial Intelligence (IA) · Big data · Big Data Analysis,,,,,,,,,,Trainee
664,"['Designing and developing a web application for the donation of property', 'to needy people.', 'Technologies: spring boot, Angular.']",Designing and developing a web application for the donation of property,to needy people.,"Technologies: spring boot, Angular.",,,,,,,,Internship in engineering
665,['unckown'],unckown,,,,,,,,,,Cloud Engineer
666,['unckown'],unckown,,,,,,,,,,Cloud Engineering Student
667,['unckown'],unckown,,,,,,,,,,Student
668,['unckown'],unckown,,,,,,,,,,Student
669,['unckown'],unckown,,,,,,,,,,University Teacher
670,['Development of a web application using Spring Boot and Angular for the management of construction projects.'],Development of a web application using Spring Boot and Angular for the management of construction projects.,,,,,,,,,,Trainee
671,['Skills : Transport Layer Security (TLS) · Data Analysis · Python (Programming Language) · Machine Learning'],Skills : Transport Layer Security (TLS) · Data Analysis · Python (Programming Language) · Machine Learning,,,,,,,,,,Data Science Internal
672,"['Design and development of an employability platform with a personality prediction system.', 'Design of the overall application architecture.', 'Authentication, Security (JWT).', 'Profile management.', 'Management of Candidates.', 'Management of prediction module.', 'Implementation of micro-services.']",Design and development of an employability platform with a personality prediction system.,Design of the overall application architecture.,"Authentication, Security (JWT).",Profile management.,Management of Candidates.,Management of prediction module.,Implementation of micro-services.,,,,"Developer software engineering (Java/Spring boot, Angular) "
673,['unckown'],unckown,,,,,,,,,,Student
674,['unckown'],unckown,,,,,,,,,,Data Scientist internally
675,['unckown'],unckown,,,,,,,,,,Student
