,Unnamed: 0,jobTitle,skills,Activity,Activite1,Activite2,Activite3,Activite4,Activite5,Activite6,Activite7,Activite8,Activite9,Activite10,word_tokenized1,word_tokenized2,word_tokenized3,word_tokenized4,word_tokenized5,word_tokenized6,word_tokenized7,word_tokenized8,word_tokenized9,word_tokenized10,clean_words1,clean_words2,clean_words3,clean_words4,clean_words5,clean_words6,clean_words7,clean_words8,clean_words9,clean_words10,clean_stemmed1,clean_stemmed2,clean_stemmed3,clean_stemmed4,clean_stemmed5,clean_stemmed6,clean_stemmed7,clean_stemmed8,clean_stemmed9,clean_stemmed10,clean_lemmed1,clean_lemmed2,clean_lemmed3,clean_lemmed4,clean_lemmed5,clean_lemmed6,clean_lemmed7,clean_lemmed8,clean_lemmed9,clean_lemmed10,cluster
610,610,University teacher  ,unknownunknownunknownunknownunknownunknown,['owner of a private primary school - Cem - high school '],owner of a private primary school - Cem - high school ,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,"['owner', 'private', 'primary', 'school', 'Cem', 'high', 'school']",[],[],[],[],[],[],[],[],[],"['owner', 'private', 'primary', 'school', 'Cem', 'high', 'school']",[],[],[],[],[],[],[],[],[],"['owner', 'privat', 'primari', 'school', 'cem', 'high', 'school']",[],[],[],[],[],[],[],[],[],"['owner', 'private', 'primary', 'school', 'Cem', 'high', 'school']",[],[],[],[],[],[],[],[],[],0
611,611,Mechanical Designer,Video productionCommunicationComputer-assisted design (CAO)SOLIDWORKSPilotageANSYS,['Skills: Computer-assisted design (CAO) · SOLIDWORKS · ANSYS · CATIA'],Skills: Computer-assisted design (CAO) · SOLIDWORKS · ANSYS · CATIA,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,"['Skills', 'Computer', 'assisted', 'design', 'CAO', 'SOLIDWORKS', 'ANSYS', 'CATIA']",[],[],[],[],[],[],[],[],[],"['Skills', 'Computer', 'assisted', 'design', 'CAO', 'SOLIDWORKS', 'ANSYS', 'CATIA']",[],[],[],[],[],[],[],[],[],"['skill', 'comput', 'assist', 'design', 'cao', 'solidwork', 'ansi', 'catia']",[],[],[],[],[],[],[],[],[],"['Skills', 'Computer', 'assisted', 'design', 'CAO', 'SOLIDWORKS', 'ANSYS', 'CATIA']",[],[],[],[],[],[],[],[],[],0
612,612,Cybersecurity Analyst,Computer securityDecision-making informaticsComputerized medical recordComputer expertiseInformation technologyEngineering,['unknown'],unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0
613,613,Teacher,EducationPedagogyProject managementTechnical editorsLogistics managementnaval maintenance,['Reconversion and consolidation of my training activities!'],Reconversion and consolidation of my training activities!,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,"['Reconversion', 'consolidation', 'training', 'activities']",[],[],[],[],[],[],[],[],[],"['Reconversion', 'consolidation', 'training', 'activities']",[],[],[],[],[],[],[],[],[],"['reconvers', 'consolid', 'train', 'activ']",[],[],[],[],[],[],[],[],[],"['Reconversion', 'consolidation', 'training', 'activity']",[],[],[],[],[],[],[],[],[],0
614,614,ICT System Advisor - Coordinator,SQLDatabasesEnglishPostgreSQLJavaMySQL,"['* Organize, plan and monitor all the activities of the System team in order to build, recruit, build a well-functioning and well-integrated team where employees perform optimal services because they know they are valued, supported and supported.', '', '* Support and support its employees to contribute to the development of their skills and to the optimal achievement of the results', '', '* Evaluate, spontaneously or on request, different technical scenarios and inform supervisors in order to offer the possibility of making appropriate decisions, including in terms of new investments', '', '* Write, develop, execute and follow a project plan to achieve the project objectives according to the predefined time, budget, quality and scope (perimeter) parameters.', '', '* Ensure the continuous support and improvement of the IT environment and ensure its reliability in order to provide users with the opportunity to effectively carry out the tasks of the Inland FPS']","* Organize, plan and monitor all the activities of the System team in order to build, recruit, build a well-functioning and well-integrated team where employees perform optimal services because they know they are valued, supported and supported.",unknown,* Support and support its employees to contribute to the development of their skills and to the optimal achievement of the results,unknown,"* Evaluate, spontaneously or on request, different technical scenarios and inform supervisors in order to offer the possibility of making appropriate decisions, including in terms of new investments",unknown,"* Write, develop, execute and follow a project plan to achieve the project objectives according to the predefined time, budget, quality and scope (perimeter) parameters.",unknown,* Ensure the continuous support and improvement of the IT environment and ensure its reliability in order to provide users with the opportunity to effectively carry out the tasks of the Inland FPS,unknown,"['Organize', 'plan', 'monitor', 'activities', 'System', 'team', 'order', 'build', 'recruit', 'build', 'well', 'functioning', 'well', 'integrated', 'team', 'employees', 'perform', 'optimal', 'services', 'know', 'valued', 'supported', 'supported']",[],"['Support', 'support', 'employees', 'contribute', 'development', 'skills', 'optimal', 'achievement', 'results']",[],"['Evaluate', 'spontaneously', 'request', 'different', 'technical', 'scenarios', 'inform', 'supervisors', 'order', 'offer', 'possibility', 'making', 'appropriate', 'decisions', 'including', 'terms', 'new', 'investments']",[],"['Write', 'develop', 'execute', 'follow', 'project', 'plan', 'achieve', 'project', 'objectives', 'according', 'predefined', 'time', 'budget', 'quality', 'scope', 'perimeter', 'parameters']",[],"['Ensure', 'continuous', 'support', 'improvement', 'IT', 'environment', 'ensure', 'reliability', 'order', 'provide', 'users', 'opportunity', 'effectively', 'carry', 'tasks', 'Inland', 'FPS']",[],"['Organize', 'plan', 'monitor', 'activities', 'System', 'team', 'order', 'build', 'recruit', 'build', 'well', 'functioning', 'well', 'integrated', 'team', 'employees', 'perform', 'optimal', 'services', 'know', 'valued', 'supported', 'supported']",[],"['Support', 'support', 'employees', 'contribute', 'development', 'skills', 'optimal', 'achievement', 'results']",[],"['Evaluate', 'spontaneously', 'request', 'different', 'technical', 'scenarios', 'inform', 'supervisors', 'order', 'offer', 'possibility', 'making', 'appropriate', 'decisions', 'including', 'terms', 'new', 'investments']",[],"['Write', 'develop', 'execute', 'follow', 'project', 'plan', 'achieve', 'project', 'objectives', 'according', 'predefined', 'time', 'budget', 'quality', 'scope', 'perimeter', 'parameters']",[],"['Ensure', 'continuous', 'support', 'improvement', 'IT', 'environment', 'ensure', 'reliability', 'order', 'provide', 'users', 'opportunity', 'effectively', 'carry', 'tasks', 'Inland', 'FPS']",[],"['organ', 'plan', 'monitor', 'activ', 'system', 'team', 'order', 'build', 'recruit', 'build', 'well', 'function', 'well', 'integr', 'team', 'employe', 'perform', 'optim', 'servic', 'know', 'valu', 'support', 'support']",[],"['support', 'support', 'employe', 'contribut', 'develop', 'skill', 'optim', 'achiev', 'result']",[],"['evalu', 'spontan', 'request', 'differ', 'technic', 'scenario', 'inform', 'supervisor', 'order', 'offer', 'possibl', 'make', 'appropri', 'decis', 'includ', 'term', 'new', 'invest']",[],"['write', 'develop', 'execut', 'follow', 'project', 'plan', 'achiev', 'project', 'object', 'accord', 'predefin', 'time', 'budget', 'qualiti', 'scope', 'perimet', 'paramet']",[],"['ensur', 'continu', 'support', 'improv', 'it', 'environ', 'ensur', 'reliabl', 'order', 'provid', 'user', 'opportun', 'effect', 'carri', 'task', 'inland', 'fp']",[],"['Organize', 'plan', 'monitor', 'activity', 'System', 'team', 'order', 'build', 'recruit', 'build', 'well', 'functioning', 'well', 'integrated', 'team', 'employee', 'perform', 'optimal', 'service', 'know', 'valued', 'supported', 'supported']",[],"['Support', 'support', 'employee', 'contribute', 'development', 'skill', 'optimal', 'achievement', 'result']",[],"['Evaluate', 'spontaneously', 'request', 'different', 'technical', 'scenario', 'inform', 'supervisor', 'order', 'offer', 'possibility', 'making', 'appropriate', 'decision', 'including', 'term', 'new', 'investment']",[],"['Write', 'develop', 'execute', 'follow', 'project', 'plan', 'achieve', 'project', 'objective', 'according', 'predefined', 'time', 'budget', 'quality', 'scope', 'perimeter', 'parameter']",[],"['Ensure', 'continuous', 'support', 'improvement', 'IT', 'environment', 'ensure', 'reliability', 'order', 'provide', 'user', 'opportunity', 'effectively', 'carry', 'task', 'Inland', 'FPS']",[],0
615,615,Postdoctoral Researcher - Lightning Resistance of Composites in Aeronautics,MechanicalThermodynamicsAerodynamicsTurbomachinesMechanical and Aerospace EngineeringAeronautics,"['KEY WORDS: ', 'Experimental research, modelling, composite materials, lightning protection, aeronautics', '', 'BACKGROUND AND OBJECTIVE: ', 'Aircraft and helicopters are struck by lightning on average once a year, which can seriously damage materials at the fuselage impact point. The solutions currently used are to apply a copper mesh to the materials to improve their electrical conductivity and thus distribute the energy of the impact over the whole fuselage rather than at a specific point. However, copper meshes increase aircraft weight, resulting in fuel consumption and pollutant emissions. ', '', 'My goal is to develop new lightning protection solutions, both more effective and lighter.  Different types of coatings are being studied, including nickel and silver. ', '', 'ACHIEVEMENTS:', '- Creation of new design of innovative materials', '- Definition and execution of experimental tests: lightning tests (ARP5412), damage analysis with a C-Scan and CT-Scan, mechanical bending tests (ASTM D6272), chemical tests', '- Modelling of electrical, thermal and chemical processes in a material exposed to lightning', '- Technological monitoring of existing lightning protection solutions', '- Project management: definition of need with partner, communication with suppliers, allocation of resources', '- Preparation of scientific reports and articles', '', 'TECHNICAL ENVIRONMENT:', '- Experimentation: Lightning gun, C-Scan, CT-Scan, TGA, DSC, Reflectometer, infrared camera, voltage machine, cutting machines', '- Modeling: Comsol, Python', '- Language of the project: English']",KEY WORDS: ,"Experimental research, modelling, composite materials, lightning protection, aeronautics",unknown,BACKGROUND AND OBJECTIVE: ,"Aircraft and helicopters are struck by lightning on average once a year, which can seriously damage materials at the fuselage impact point. The solutions currently used are to apply a copper mesh to the materials to improve their electrical conductivity and thus distribute the energy of the impact over the whole fuselage rather than at a specific point. However, copper meshes increase aircraft weight, resulting in fuel consumption and pollutant emissions. ",unknown,"My goal is to develop new lightning protection solutions, both more effective and lighter.  Different types of coatings are being studied, including nickel and silver. ",unknown,ACHIEVEMENTS:,- Creation of new design of innovative materials,"['KEY', 'WORDS']","['Experimental', 'research', 'modelling', 'composite', 'materials', 'lightning', 'protection', 'aeronautics']",[],"['BACKGROUND', 'AND', 'OBJECTIVE']","['Aircraft', 'helicopters', 'struck', 'lightning', 'average', 'year', 'seriously', 'damage', 'materials', 'fuselage', 'impact', 'point', 'The', 'solutions', 'currently', 'used', 'apply', 'copper', 'mesh', 'materials', 'improve', 'electrical', 'conductivity', 'thus', 'distribute', 'energy', 'impact', 'whole', 'fuselage', 'rather', 'specific', 'point', 'However', 'copper', 'meshes', 'increase', 'aircraft', 'weight', 'resulting', 'fuel', 'consumption', 'pollutant', 'emissions']",[],"['My', 'goal', 'develop', 'new', 'lightning', 'protection', 'solutions', 'effective', 'lighter', 'Different', 'types', 'coatings', 'studied', 'including', 'nickel', 'silver']",[],['ACHIEVEMENTS'],"['Creation', 'new', 'design', 'innovative', 'materials']","['KEY', 'WORDS']","['Experimental', 'research', 'modelling', 'composite', 'materials', 'lightning', 'protection', 'aeronautics']",[],"['BACKGROUND', 'AND', 'OBJECTIVE']","['Aircraft', 'helicopters', 'struck', 'lightning', 'average', 'year', 'seriously', 'damage', 'materials', 'fuselage', 'impact', 'point', 'The', 'solutions', 'currently', 'used', 'apply', 'copper', 'mesh', 'materials', 'improve', 'electrical', 'conductivity', 'thus', 'distribute', 'energy', 'impact', 'whole', 'fuselage', 'rather', 'specific', 'point', 'However', 'copper', 'meshes', 'increase', 'aircraft', 'weight', 'resulting', 'fuel', 'consumption', 'pollutant', 'emissions']",[],"['My', 'goal', 'develop', 'new', 'lightning', 'protection', 'solutions', 'effective', 'lighter', 'Different', 'types', 'coatings', 'studied', 'including', 'nickel', 'silver']",[],['ACHIEVEMENTS'],"['Creation', 'new', 'design', 'innovative', 'materials']","['key', 'word']","['experiment', 'research', 'model', 'composit', 'materi', 'lightn', 'protect', 'aeronaut']",[],"['background', 'and', 'object']","['aircraft', 'helicopt', 'struck', 'lightn', 'averag', 'year', 'serious', 'damag', 'materi', 'fuselag', 'impact', 'point', 'the', 'solut', 'current', 'use', 'appli', 'copper', 'mesh', 'materi', 'improv', 'electr', 'conduct', 'thu', 'distribut', 'energi', 'impact', 'whole', 'fuselag', 'rather', 'specif', 'point', 'howev', 'copper', 'mesh', 'increas', 'aircraft', 'weight', 'result', 'fuel', 'consumpt', 'pollut', 'emiss']",[],"['my', 'goal', 'develop', 'new', 'lightn', 'protect', 'solut', 'effect', 'lighter', 'differ', 'type', 'coat', 'studi', 'includ', 'nickel', 'silver']",[],['achiev'],"['creation', 'new', 'design', 'innov', 'materi']","['KEY', 'WORDS']","['Experimental', 'research', 'modelling', 'composite', 'material', 'lightning', 'protection', 'aeronautics']",[],"['BACKGROUND', 'AND', 'OBJECTIVE']","['Aircraft', 'helicopter', 'struck', 'lightning', 'average', 'year', 'seriously', 'damage', 'material', 'fuselage', 'impact', 'point', 'The', 'solution', 'currently', 'used', 'apply', 'copper', 'mesh', 'material', 'improve', 'electrical', 'conductivity', 'thus', 'distribute', 'energy', 'impact', 'whole', 'fuselage', 'rather', 'specific', 'point', 'However', 'copper', 'mesh', 'increase', 'aircraft', 'weight', 'resulting', 'fuel', 'consumption', 'pollutant', 'emission']",[],"['My', 'goal', 'develop', 'new', 'lightning', 'protection', 'solution', 'effective', 'lighter', 'Different', 'type', 'coating', 'studied', 'including', 'nickel', 'silver']",[],['ACHIEVEMENTS'],"['Creation', 'new', 'design', 'innovative', 'material']",0
616,616,President,InvestigationIntegrationEnglishTeam LeadershipFraud detectionAnalysis,"['Manufacturer of La Fouine software, a tool specialized in real-time research on the Web, social networks and custom sources.', 'Partner Nuix & Brainspace.', 'Sale and support for software in forensic computer science and EDiscovery.', 'Data indexing and forensic computer analysis.', 'www.vigiteck.com', 'Consultant-consultant E-Discovery for companies working in the field of safety and investigation as well as law enforcement agencies. ']","Manufacturer of La Fouine software, a tool specialized in real-time research on the Web, social networks and custom sources.",Partner Nuix & Brainspace.,Sale and support for software in forensic computer science and EDiscovery.,Data indexing and forensic computer analysis.,www.vigiteck.com,Consultant-consultant E-Discovery for companies working in the field of safety and investigation as well as law enforcement agencies. ,unknown,unknown,unknown,unknown,"['Manufacturer', 'La', 'Fouine', 'software', 'tool', 'specialized', 'real', 'time', 'research', 'Web', 'social', 'networks', 'custom', 'sources']","['Partner', 'Nuix', 'Brainspace']","['Sale', 'support', 'software', 'forensic', 'computer', 'science', 'EDiscovery']","['Data', 'indexing', 'forensic', 'computer', 'analysis']","['www', 'vigiteck', 'com']","['Consultant', 'consultant', 'E', 'Discovery', 'companies', 'working', 'field', 'safety', 'investigation', 'well', 'law', 'enforcement', 'agencies']",[],[],[],[],"['Manufacturer', 'La', 'Fouine', 'software', 'tool', 'specialized', 'real', 'time', 'research', 'Web', 'social', 'networks', 'custom', 'sources']","['Partner', 'Nuix', 'Brainspace']","['Sale', 'support', 'software', 'forensic', 'computer', 'science', 'EDiscovery']","['Data', 'indexing', 'forensic', 'computer', 'analysis']","['www', 'vigiteck', 'com']","['Consultant', 'consultant', 'E', 'Discovery', 'companies', 'working', 'field', 'safety', 'investigation', 'well', 'law', 'enforcement', 'agencies']",[],[],[],[],"['manufactur', 'la', 'fouin', 'softwar', 'tool', 'special', 'real', 'time', 'research', 'web', 'social', 'network', 'custom', 'sourc']","['partner', 'nuix', 'brainspac']","['sale', 'support', 'softwar', 'forens', 'comput', 'scienc', 'ediscoveri']","['data', 'index', 'forens', 'comput', 'analysi']","['www', 'vigiteck', 'com']","['consult', 'consult', 'e', 'discoveri', 'compani', 'work', 'field', 'safeti', 'investig', 'well', 'law', 'enforc', 'agenc']",[],[],[],[],"['Manufacturer', 'La', 'Fouine', 'software', 'tool', 'specialized', 'real', 'time', 'research', 'Web', 'social', 'network', 'custom', 'source']","['Partner', 'Nuix', 'Brainspace']","['Sale', 'support', 'software', 'forensic', 'computer', 'science', 'EDiscovery']","['Data', 'indexing', 'forensic', 'computer', 'analysis']","['www', 'vigiteck', 'com']","['Consultant', 'consultant', 'E', 'Discovery', 'company', 'working', 'field', 'safety', 'investigation', 'well', 'law', 'enforcement', 'agency']",[],[],[],[],0
617,617,Study Completion Project,Microsoft OfficeSolidWorksTPC CreoMicrosoft WordMicrosoft PowerPointArduino,"['Mission & Results:', '* Design of an automated shutter insertion machine.', '* Optimization of production cycle time.', '* Optimization of numbers of finished parts.']",Mission & Results:,* Design of an automated shutter insertion machine.,* Optimization of production cycle time.,* Optimization of numbers of finished parts.,unknown,unknown,unknown,unknown,unknown,unknown,"['Mission', 'Results']","['Design', 'automated', 'shutter', 'insertion', 'machine']","['Optimization', 'production', 'cycle', 'time']","['Optimization', 'numbers', 'finished', 'parts']",[],[],[],[],[],[],"['Mission', 'Results']","['Design', 'automated', 'shutter', 'insertion', 'machine']","['Optimization', 'production', 'cycle', 'time']","['Optimization', 'numbers', 'finished', 'parts']",[],[],[],[],[],[],"['mission', 'result']","['design', 'autom', 'shutter', 'insert', 'machin']","['optim', 'product', 'cycl', 'time']","['optim', 'number', 'finish', 'part']",[],[],[],[],[],[],"['Mission', 'Results']","['Design', 'automated', 'shutter', 'insertion', 'machine']","['Optimization', 'production', 'cycle', 'time']","['Optimization', 'number', 'finished', 'part']",[],[],[],[],[],[],0
618,618,Tesm Service,Project managementConstructionManagementProject planningMicrosoft OfficeMicrosoft Excel,['unknown'],unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0
619,619,Architect Engineer HMONP,ArchitectureLuxuryWealth managementCommunicationProject managementReal estate law,"['Design & Construction Buildings', 'www.marccombe.com']",Design & Construction Buildings,www.marccombe.com,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,"['Design', 'Construction', 'Buildings']","['www', 'marccombe', 'com']",[],[],[],[],[],[],[],[],"['Design', 'Construction', 'Buildings']","['www', 'marccombe', 'com']",[],[],[],[],[],[],[],[],"['design', 'construct', 'build']","['www', 'marccomb', 'com']",[],[],[],[],[],[],[],[],"['Design', 'Construction', 'Buildings']","['www', 'marccombe', 'com']",[],[],[],[],[],[],[],[],0
620,620,Senior Manager,Java Native InterfaceMicrosoft OfficeInformation technologyJavaunknownunknown,['unknown'],unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0
621,621,Commercial Manager Project Tertiary Solution,Sales ManagerNew Business DevelopmentTelecommunicationsSale of solutionsKey account managementTrade development,"['Follow-up of major Tertiary and Industrial projects in the sector, organization of events (technical morning, economic chain trip).', ""Requirements for Tertiary and Industry solutions of the Legrand Group (Power, Measurement, VDI, Lighting Management, UPS, Apparatus, Security) with the public and private works mastery (Final Customers) as well as the Construction Mastery (Offices d'Etudes, Entreprises générales)""]","Follow-up of major Tertiary and Industrial projects in the sector, organization of events (technical morning, economic chain trip).","Requirements for Tertiary and Industry solutions of the Legrand Group (Power, Measurement, VDI, Lighting Management, UPS, Apparatus, Security) with the public and private works mastery (Final Customers) as well as the Construction Mastery (Offices d'Etudes, Entreprises générales)",unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,"['Follow', 'major', 'Tertiary', 'Industrial', 'projects', 'sector', 'organization', 'events', 'technical', 'morning', 'economic', 'chain', 'trip']","['Requirements', 'Tertiary', 'Industry', 'solutions', 'Legrand', 'Group', 'Power', 'Measurement', 'VDI', 'Lighting', 'Management', 'UPS', 'Apparatus', 'Security', 'public', 'private', 'works', 'mastery', 'Final', 'Customers', 'well', 'Construction', 'Mastery', 'Offices', 'Etudes', 'Entreprises', 'générales']",[],[],[],[],[],[],[],[],"['Follow', 'major', 'Tertiary', 'Industrial', 'projects', 'sector', 'organization', 'events', 'technical', 'morning', 'economic', 'chain', 'trip']","['Requirements', 'Tertiary', 'Industry', 'solutions', 'Legrand', 'Group', 'Power', 'Measurement', 'VDI', 'Lighting', 'Management', 'UPS', 'Apparatus', 'Security', 'public', 'private', 'works', 'mastery', 'Final', 'Customers', 'well', 'Construction', 'Mastery', 'Offices', 'Etudes', 'Entreprises', 'générales']",[],[],[],[],[],[],[],[],"['follow', 'major', 'tertiari', 'industri', 'project', 'sector', 'organ', 'event', 'technic', 'morn', 'econom', 'chain', 'trip']","['requir', 'tertiari', 'industri', 'solut', 'legrand', 'group', 'power', 'measur', 'vdi', 'light', 'manag', 'up', 'apparatu', 'secur', 'public', 'privat', 'work', 'masteri', 'final', 'custom', 'well', 'construct', 'masteri', 'offic', 'etud', 'entrepris', 'générale']",[],[],[],[],[],[],[],[],"['Follow', 'major', 'Tertiary', 'Industrial', 'project', 'sector', 'organization', 'event', 'technical', 'morning', 'economic', 'chain', 'trip']","['Requirements', 'Tertiary', 'Industry', 'solution', 'Legrand', 'Group', 'Power', 'Measurement', 'VDI', 'Lighting', 'Management', 'UPS', 'Apparatus', 'Security', 'public', 'private', 'work', 'mastery', 'Final', 'Customers', 'well', 'Construction', 'Mastery', 'Offices', 'Etudes', 'Entreprises', 'générales']",[],[],[],[],[],[],[],[],0
622,622,Senior Industrial Maintenance Technician,Microsoft OfficeMicrosoft ExcelMicrosoft WordEngineeringMechanical engineeringMicrosoft PowerPoint,"['-Preventive and curative maintenance of production equipment ', '-Assist in the qualification of machinery and production equipment.', '-Ensure stock management of ""PDR"" spare parts of production equipment.', '-Ensure the implementation of preventive maintenance plans for the equipment and its implementation.', '-Following the proper functioning of the HVAC system from the GTC', '-Follow-up on the GMAO', '-FAT in Germany 2016 and install new production equipment', '-Dedication of instructions for preventive maintenance of machinery and production equipment', '-FAT in Germany 2019 and installation of equipment for new zone']",-Preventive and curative maintenance of production equipment ,-Assist in the qualification of machinery and production equipment.,"-Ensure stock management of ""PDR"" spare parts of production equipment.",-Ensure the implementation of preventive maintenance plans for the equipment and its implementation.,-Following the proper functioning of the HVAC system from the GTC,-Follow-up on the GMAO,-FAT in Germany 2016 and install new production equipment,-Dedication of instructions for preventive maintenance of machinery and production equipment,-FAT in Germany 2019 and installation of equipment for new zone,unknown,"['Preventive', 'curative', 'maintenance', 'production', 'equipment']","['Assist', 'qualification', 'machinery', 'production', 'equipment']","['Ensure', 'stock', 'management', 'PDR', 'spare', 'parts', 'production', 'equipment']","['Ensure', 'implementation', 'preventive', 'maintenance', 'plans', 'equipment', 'implementation']","['Following', 'proper', 'functioning', 'HVAC', 'system', 'GTC']","['Follow', 'GMAO']","['FAT', 'Germany', '2016', 'install', 'new', 'production', 'equipment']","['Dedication', 'instructions', 'preventive', 'maintenance', 'machinery', 'production', 'equipment']","['FAT', 'Germany', '2019', 'installation', 'equipment', 'new', 'zone']",[],"['Preventive', 'curative', 'maintenance', 'production', 'equipment']","['Assist', 'qualification', 'machinery', 'production', 'equipment']","['Ensure', 'stock', 'management', 'PDR', 'spare', 'parts', 'production', 'equipment']","['Ensure', 'implementation', 'preventive', 'maintenance', 'plans', 'equipment', 'implementation']","['Following', 'proper', 'functioning', 'HVAC', 'system', 'GTC']","['Follow', 'GMAO']","['FAT', 'Germany', '2016', 'install', 'new', 'production', 'equipment']","['Dedication', 'instructions', 'preventive', 'maintenance', 'machinery', 'production', 'equipment']","['FAT', 'Germany', '2019', 'installation', 'equipment', 'new', 'zone']",[],"['prevent', 'cur', 'mainten', 'product', 'equip']","['assist', 'qualif', 'machineri', 'product', 'equip']","['ensur', 'stock', 'manag', 'pdr', 'spare', 'part', 'product', 'equip']","['ensur', 'implement', 'prevent', 'mainten', 'plan', 'equip', 'implement']","['follow', 'proper', 'function', 'hvac', 'system', 'gtc']","['follow', 'gmao']","['fat', 'germani', '2016', 'instal', 'new', 'product', 'equip']","['dedic', 'instruct', 'prevent', 'mainten', 'machineri', 'product', 'equip']","['fat', 'germani', '2019', 'instal', 'equip', 'new', 'zone']",[],"['Preventive', 'curative', 'maintenance', 'production', 'equipment']","['Assist', 'qualification', 'machinery', 'production', 'equipment']","['Ensure', 'stock', 'management', 'PDR', 'spare', 'part', 'production', 'equipment']","['Ensure', 'implementation', 'preventive', 'maintenance', 'plan', 'equipment', 'implementation']","['Following', 'proper', 'functioning', 'HVAC', 'system', 'GTC']","['Follow', 'GMAO']","['FAT', 'Germany', '2016', 'install', 'new', 'production', 'equipment']","['Dedication', 'instruction', 'preventive', 'maintenance', 'machinery', 'production', 'equipment']","['FAT', 'Germany', '2019', 'installation', 'equipment', 'new', 'zone']",[],0
